title,text,category,label
डॉ एपीजे अब्दुल कलाम प्राविधिक विश्वविद्यालय लखनऊ शैक्षणिक यात्रा circular,"सत्र में अध्ययनरत CS AIML तृतीय वर्ष के छात्रों हेतु शैक्षणिक यात्रा (Educational Trip) का आयोजन निम्न विवरणानुसार किया जाना प्रस्तावित है। यात्रा स्थल बैंगलुरु। प्रतिभाग शुल्क ₹ 4,500/- प्रति छात्र। विभागाध्यक्ष के माध्यम से नामांकन एवं शुल्क जमा करना सुनिश्चित करें। प्रो दीपक नगरिया परीक्षा नियंत्रक।",Technology,0
Fake College Trip Notice circular to Bengaluru 4500 rupees fee,CS AIML B.Tech educational tour circular to Bengaluru 4500 rupees fee. Fake circular notice university examination controller signature. Generated for testing fake circulars.,Technology,0
Government Announces New Renewable Energy Policy,The Ministry of Energy today unveiled a new national policy aimed at boosting solar and wind power generation by 40% over the next decade. Official representatives confirmed that subsidies will be provided to clean energy startups and domestic manufacturers.,Politics,1
Scientists Discover Water Vapor on Distant Exoplanet,Astronomers using space telescope data have identified clear spectral signatures of water vapor in the atmosphere of a habitable-zone exoplanet. The published research in the journal Science indicates potential conditions for atmospheric study.,Technology,1
Global Tech Summit Focuses on Artificial Intelligence Governance,"Technology leaders, policymakers, and ethics researchers gathered in Geneva for the annual AI Safety Summit. Discussions centered on developing international standards for algorithmic transparency, data privacy, and ethical AI deployment.",Technology,1
National Health Agency Releases Updated Dietary Guidelines,"Health officials published updated nutritional recommendations emphasizing plant-rich diets, reduced processed sugar intake, and regular physical activity. Clinical trial data supported the updated cardiovascular wellness guidelines.",Health,1
Central Bank Keeps Benchmark Interest Rate Unchanged,The Federal Reserve monetary policy committee voted to hold interest rates steady following a drop in quarterly inflation figures. Economic analysts noted that job growth remains stable across manufacturing and services sectors.,Business,1
Championship League Final Ends with Thrilling Stoppage Time Goal,"In a dramatic showdown, the defending champions secured victory in the 93rd minute with a spectacular volley from outside the penalty box. Over 80,000 spectators attended the stadium event.",Sports,1
International Film Festival Awards Grand Prize to Indie Drama,"The prestigious jury awarded its highest honor to an independent drama film celebrating community resilience. Critics praised the cinematography, musical score, and compelling performance by the lead cast.",Entertainment,1
Bipartisan Infrastructure Bill Passes Senate Approval,"Lawmakers successfully voted to pass a historic infrastructure package funding bridge repairs, public transit upgrades, and rural broadband internet expansion across all state districts.",Politics,1
विश्वविद्यालय परीक्षा समय सारणी आधिकारिक वेबसाइट पर जारी,विश्वविद्यालय परीक्षा नियंत्रक कार्यालय द्वारा सत्र की मुख्य एवं सेमेस्टर परीक्षाओं की समय सारणी आधिकारिक पोर्टल पर जारी कर दी गई है। सभी संबंधित संस्थान एवं छात्र आधिकारिक वेबसाइट पर अधिसूचना देख सकते हैं।,Technology,1
शैक्षणिक सत्र में नव प्रवेशित छात्रों के लिए ओरिएंटेशन कार्यक्रम का आयोजन,कुलपति कार्यालय द्वारा जारी सर्कुलर के अनुसार विश्वविद्यालय परिसर में नए सत्र के विद्यार्थियों के लिए दीक्षारंभ कार्यक्रम का आयोजन किया जा रहा है। यह सत्र छात्रों के उज्जवल भविष्य की नींव रखेगा।,Technology,1
विश्वविद्यालय क्रीड़ा प्रतियोगिता का आयोजन अगले सप्ताह से शुरू होगा,"विश्वविद्यालय के क्रीड़ा विभाग ने वार्षिक खेलकूद प्रतियोगिता की घोषणा की है। विभिन्न संबद्ध कॉलेजों के छात्र एथलेटिक्स, बास्केटबॉल और टेबल टेनिस प्रतियोगिताओं में भाग लेंगे। विवरण वेबसाइट पर उपलब्ध है।",Technology,1
SHOCKING: Secret Miracle Cure Cures All Diseases Overnight!,Whistleblower doctor exposes massive secret conspiracy hidden by big pharma! Drinking this daily household liquid will eliminate all illnesses immediately! Doctors don't want you to know this mind-blowing truth! Share before it gets deleted!,Health,0
Unbelievable Alien Spacecraft Landed in City Center Confirms Anonymous Source,Shocking leaks from unnamed sources claim extraterrestrials landed at midnight in a major capital city! Government forces quickly covered up the evidence and wiped all cell phone videos! Shocking footage leaked online!,Technology,0
Billionaire Distributes Entire Fortune to Random Followers,You won't believe this amazing secret giveaway! Famous billionaire decides to send ten thousand dollars to everyone who retweets and clicks this exclusive secret link within ten minutes!,Business,0
Secret Government Plan to Ban All Domestic Pets Discovered,Classified documents allegedly leaked online reveal a sinister plot to confiscate all household dogs and cats by next month! Viral posts claim politicians voted in absolute secrecy!,Politics,0
Miracle Fruit Causes Weight Loss Without Exercise or Dieting,Scientists stunned as magical exotic berry burns fifty pounds of fat overnight while sleeping! No diet or exercise needed! Order now before global stock runs out!,Health,0
Famous Athlete Banned Forever After Caught Using Telepathy Device,Sports world rocked by unbelievable scandal as superstar player was secretly receiving play instructions straight into his brain through mind-reading satellite technology!,Sports,0
Hollywood Star Replaced by Secret AI Clone in Latest Movie,Insiders reveal the famous actor was completely replaced by a secret government AI android during filming! Noticeable glitches in facial expressions shock fans worldwide!,Entertainment,0
Tech Giant CEO Predicts Internet Will Be Shutdown Permanently Next Week,Urgent alert! Leaked internal email claims internet servers across the entire world will shut down forever on Friday! Stock up on cash and paper maps immediately!,Technology,0
काल्पनिक सूचना: मनाली टूर एवं शैक्षणिक यात्रा शुल्क जमा करने हेतु फर्जी circular,"मनाली हिमाचल प्रदेश शैक्षणिक यात्रा आयोजन के संबंध में सूचना। B Tech CS AIML तृतीय वर्ष के छात्र छात्राओं के लिए मनाली यात्रा। अनुमानित शुल्क ₹6,500 प्रति छात्र जमा करें। यह सूचना केवल Testing एवं Fake News/Notice परीक्षण हेतु बनाई गई काल्पनिक फर्जी सामग्री है।",Technology,0
डॉ एपीजे अब्दुल कलाम प्राविधिक विश्वविद्यालय लखनऊ शैक्षणिक यात्रा circular,"सत्र में अध्ययनरत CS AIML तृतीय वर्ष के छात्रों हेतु शैक्षणिक यात्रा (Educational Trip) का आयोजन निम्न विवरणानुसार किया जाना प्रस्तावित है। यात्रा स्थल बैंगलुरु। प्रतिभाग शुल्क ₹ 4,500/- प्रति छात्र। विभागाध्यक्ष के माध्यम से नामांकन एवं शुल्क जमा करना सुनिश्चित करें। प्रो दीपक नगरिया परीक्षा नियंत्रक।",Technology,0
Fake College Trip Notice circular to Bengaluru 4500 rupees fee,CS AIML B.Tech educational tour circular to Bengaluru 4500 rupees fee. Fake circular notice university examination controller signature. Generated for testing fake circulars.,Technology,0
Government Announces New Renewable Energy Policy,The Ministry of Energy today unveiled a new national policy aimed at boosting solar and wind power generation by 40% over the next decade. Official representatives confirmed that subsidies will be provided to clean energy startups and domestic manufacturers.,Politics,1
Scientists Discover Water Vapor on Distant Exoplanet,Astronomers using space telescope data have identified clear spectral signatures of water vapor in the atmosphere of a habitable-zone exoplanet. The published research in the journal Science indicates potential conditions for atmospheric study.,Technology,1
Global Tech Summit Focuses on Artificial Intelligence Governance,"Technology leaders, policymakers, and ethics researchers gathered in Geneva for the annual AI Safety Summit. Discussions centered on developing international standards for algorithmic transparency, data privacy, and ethical AI deployment.",Technology,1
National Health Agency Releases Updated Dietary Guidelines,"Health officials published updated nutritional recommendations emphasizing plant-rich diets, reduced processed sugar intake, and regular physical activity. Clinical trial data supported the updated cardiovascular wellness guidelines.",Health,1
Central Bank Keeps Benchmark Interest Rate Unchanged,The Federal Reserve monetary policy committee voted to hold interest rates steady following a drop in quarterly inflation figures. Economic analysts noted that job growth remains stable across manufacturing and services sectors.,Business,1
Championship League Final Ends with Thrilling Stoppage Time Goal,"In a dramatic showdown, the defending champions secured victory in the 93rd minute with a spectacular volley from outside the penalty box. Over 80,000 spectators attended the stadium event.",Sports,1
International Film Festival Awards Grand Prize to Indie Drama,"The prestigious jury awarded its highest honor to an independent drama film celebrating community resilience. Critics praised the cinematography, musical score, and compelling performance by the lead cast.",Entertainment,1
Bipartisan Infrastructure Bill Passes Senate Approval,"Lawmakers successfully voted to pass a historic infrastructure package funding bridge repairs, public transit upgrades, and rural broadband internet expansion across all state districts.",Politics,1
विश्वविद्यालय परीक्षा समय सारणी आधिकारिक वेबसाइट पर जारी,विश्वविद्यालय परीक्षा नियंत्रक कार्यालय द्वारा सत्र की मुख्य एवं सेमेस्टर परीक्षाओं की समय सारणी आधिकारिक पोर्टल पर जारी कर दी गई है। सभी संबंधित संस्थान एवं छात्र आधिकारिक वेबसाइट पर अधिसूचना देख सकते हैं।,Technology,1
शैक्षणिक सत्र में नव प्रवेशित छात्रों के लिए ओरिएंटेशन कार्यक्रम का आयोजन,कुलपति कार्यालय द्वारा जारी सर्कुलर के अनुसार विश्वविद्यालय परिसर में नए सत्र के विद्यार्थियों के लिए दीक्षारंभ कार्यक्रम का आयोजन किया जा रहा है। यह सत्र छात्रों के उज्जवल भविष्य की नींव रखेगा।,Technology,1
विश्वविद्यालय क्रीड़ा प्रतियोगिता का आयोजन अगले सप्ताह से शुरू होगा,"विश्वविद्यालय के क्रीड़ा विभाग ने वार्षिक खेलकूद प्रतियोगिता की घोषणा की है। विभिन्न संबद्ध कॉलेजों के छात्र एथलेटिक्स, बास्केटबॉल और टेबल टेनिस प्रतियोगिताओं में भाग लेंगे। विवरण वेबसाइट पर उपलब्ध है।",Technology,1
SHOCKING: Secret Miracle Cure Cures All Diseases Overnight!,Whistleblower doctor exposes massive secret conspiracy hidden by big pharma! Drinking this daily household liquid will eliminate all illnesses immediately! Doctors don't want you to know this mind-blowing truth! Share before it gets deleted!,Health,0
Unbelievable Alien Spacecraft Landed in City Center Confirms Anonymous Source,Shocking leaks from unnamed sources claim extraterrestrials landed at midnight in a major capital city! Government forces quickly covered up the evidence and wiped all cell phone videos! Shocking footage leaked online!,Technology,0
Billionaire Distributes Entire Fortune to Random Followers,You won't believe this amazing secret giveaway! Famous billionaire decides to send ten thousand dollars to everyone who retweets and clicks this exclusive secret link within ten minutes!,Business,0
Secret Government Plan to Ban All Domestic Pets Discovered,Classified documents allegedly leaked online reveal a sinister plot to confiscate all household dogs and cats by next month! Viral posts claim politicians voted in absolute secrecy!,Politics,0
Miracle Fruit Causes Weight Loss Without Exercise or Dieting,Scientists stunned as magical exotic berry burns fifty pounds of fat overnight while sleeping! No diet or exercise needed! Order now before global stock runs out!,Health,0
Famous Athlete Banned Forever After Caught Using Telepathy Device,Sports world rocked by unbelievable scandal as superstar player was secretly receiving play instructions straight into his brain through mind-reading satellite technology!,Sports,0
Hollywood Star Replaced by Secret AI Clone in Latest Movie,Insiders reveal the famous actor was completely replaced by a secret government AI android during filming! Noticeable glitches in facial expressions shock fans worldwide!,Entertainment,0
Tech Giant CEO Predicts Internet Will Be Shutdown Permanently Next Week,Urgent alert! Leaked internal email claims internet servers across the entire world will shut down forever on Friday! Stock up on cash and paper maps immediately!,Technology,0
काल्पनिक सूचना: मनाली टूर एवं शैक्षणिक यात्रा शुल्क जमा करने हेतु फर्जी circular,"मनाली हिमाचल प्रदेश शैक्षणिक यात्रा आयोजन के संबंध में सूचना। B Tech CS AIML तृतीय वर्ष के छात्र छात्राओं के लिए मनाली यात्रा। अनुमानित शुल्क ₹6,500 प्रति छात्र जमा करें। यह सूचना केवल Testing एवं Fake News/Notice परीक्षण हेतु बनाई गई काल्पनिक फर्जी सामग्री है।",Technology,0
डॉ एपीजे अब्दुल कलाम प्राविधिक विश्वविद्यालय लखनऊ शैक्षणिक यात्रा circular,"सत्र में अध्ययनरत CS AIML तृतीय वर्ष के छात्रों हेतु शैक्षणिक यात्रा (Educational Trip) का आयोजन निम्न विवरणानुसार किया जाना प्रस्तावित है। यात्रा स्थल बैंगलुरु। प्रतिभाग शुल्क ₹ 4,500/- प्रति छात्र। विभागाध्यक्ष के माध्यम से नामांकन एवं शुल्क जमा करना सुनिश्चित करें। प्रो दीपक नगरिया परीक्षा नियंत्रक।",Technology,0
Fake College Trip Notice circular to Bengaluru 4500 rupees fee,CS AIML B.Tech educational tour circular to Bengaluru 4500 rupees fee. Fake circular notice university examination controller signature. Generated for testing fake circulars.,Technology,0
